name,day,Confirmed
United States of America,35,35
United States of America,36,53
United States of America,37,53
United States of America,38,59
United States of America,39,60
United States of America,40,66
United States of America,41,69
United States of America,42,89
United States of America,43,103
United States of America,44,125
United States of America,45,159
United States of America,46,233
United States of America,47,338
United States of America,48,433
United States of America,49,554
United States of America,50,754
United States of America,51,1025
United States of America,52,1312
United States of America,53,1663
United States of America,54,2174
United States of America,55,2951
United States of America,56,3774
United States of America,57,4661
United States of America,58,6427
United States of America,59,9415
United States of America,60,14250
United States of America,61,19624
United States of America,62,26747
United States of America,63,35206
United States of America,64,46442
United States of America,65,55231
United States of America,66,69194
United States of America,67,85991
United States of America,68,104686
United States of America,69,124665
United States of America,70,143025
United States of America,71,164620
United Kingdom,0,0
United Kingdom,1,2
United Kingdom,2,2
United Kingdom,3,2
United Kingdom,4,2
United Kingdom,5,2
United Kingdom,6,2
United Kingdom,7,2
United Kingdom,8,3
United Kingdom,9,3
United Kingdom,10,4
United Kingdom,11,4
United Kingdom,12,8
United Kingdom,13,8
United Kingdom,14,9
United Kingdom,15,9
United Kingdom,16,9
United Kingdom,17,9
United Kingdom,18,9
United Kingdom,19,9
United Kingdom,20,9
United Kingdom,21,9
United Kingdom,22,9
United Kingdom,23,9
United Kingdom,24,9
United Kingdom,25,13
United Kingdom,26,13
United Kingdom,27,13
United Kingdom,28,13
United Kingdom,29,16
United Kingdom,30,18
United Kingdom,31,23
United Kingdom,32,36
United Kingdom,33,40
United Kingdom,34,51
United Kingdom,35,85
United Kingdom,36,115
United Kingdom,37,163
United Kingdom,38,206
United Kingdom,39,273
United Kingdom,40,321
United Kingdom,41,373
United Kingdom,42,456
United Kingdom,43,590
United Kingdom,44,707
United Kingdom,45,1140
United Kingdom,46,1391
United Kingdom,47,1543
United Kingdom,48,1950
United Kingdom,49,2630
United Kingdom,50,3277
United Kingdom,51,3983
United Kingdom,52,5018
United Kingdom,53,5683
United Kingdom,54,6650
United Kingdom,55,8077
United Kingdom,56,9529
United Kingdom,57,11658
United Kingdom,58,14543
United Kingdom,59,17089
United Kingdom,60,19522
United Kingdom,61,22141
